No.,Name,Birthplace,Birthday,Life,Height,Children,Religion,Higher Education,Occupation,Military Service,Term,Party,Vice President,Previous Office,Economy,Foreign Affairs,Military Activity,Other Events,Legacy
1,George Washington,"Pope's Creek, VA",22-Feb,1732-1799,1.88,0,Episcopalian,None,"Plantation Owner, Soldier",Commander-in-Chief of the  Continental Army in the Revolutionary War,1789-1797,"None, Federalist",John Adams,Commander-in-Chief,"[' Hamilton established BUS', '1792 Coinage Act', '1792 New York Stock Exchange organized.', '1791 Bank Act: banking system in place']","['1793 Neutrality in the France-Britain conflict', '1795 Jay Treaty with Britain. British forces withdrew', ""1795 Pinkney's Treaty sets  SW borders with Spain""]",['1794 Whiskey Rebellion'],"['1791 Bill of Rights', '1792 Post Office founded.', '1792, 1796 Kentucky  & Tennessee joined the Union']","He is universally regarded as one of the greatest figures in U.S. history. “First in war, first in peace, and first in the hearts of his country”"
2,John Adams,"Braintree, MA",30-Oct,1735-1826,1.7,5,Unitarian,Harvard,"Lawyer, Farmer",none,1797-1801,Federalist,Thomas Jefferson,1st Vice President of USA,['1798 Progressive land value tax of up to 1% of the value of a property'],['1797 the XYZ Affair: a bribe of French agents leaked'],['1798–1800 The Quasi war. Undeclared naval war with France'],"['1798 Alien & Sedition Act to silence critics; unpopular', '1800 Capital relocated to Washington DC', '1801 Nominated John Marshall chief justice of  U.S.']","One of the most experienced men ever to become President. Played a major role in the movement for independence. By the end of his term, he was unpopular, respected but not beloved."
3,Thomas Jefferson,"Goochland County, VA",13-Apr,1743-1826,1.89,6,unaffiliated Christian,College of William and Mary,"Inventor,Lawyer, Architect",Colonel of Virginia militia (without real military service),1801-1809,Democratic-Republican,"Aaron Burr, George Clinton",2nd Vice President of USA,"['1807 Embargo Act forbidding foreign trade in war', ' Canceled  Whiskey Tax.', '1809 Non-Intercourse Act repealing the  Embargo Act']",['1805 Peace Treaty with Tripoli. Piracy stopped.'],['1801-05 Naval operation against Tripoli and Barbary pirates'],"['1803 The Louisiana purchase', '1804 12th Amendment changed Presidential election', '1804-06 Authorized Louis & Clark expedition']","Probably  the most intelligent man ever to occupy the White House. Of broad interests and activity, he exerted an immense influence on the future of the new nation."
4,James Madison,"Port Conway, VA",16-Mar,1751-1836,1.63,0,Episcopalian,Princeton,"Plantation Owner, Lawyer",Colonel of Virginia militia (without real military service),1809-1817,Democratic-Republican,"George Clinton, Elbridge Gerry",Secretary of State,"[' The first U.S. protective tariff was imposed', ' Second Bank of the United States established']",['1814 The Treaty of Ghent ends the War of 1812'],"['1811 Tippecanoe battle (Harrison vs. Chief Tecumseh)', '1812-15 War of 1812 with the British. Disastrous.', '1815 New Orleans battle; Andrew Jackson victorious']","['1811 Cumberland Road construction starts (first National Road)', '1817 Veto on  Bonus Bill  for funding States improvements']","His leadership in the War of 1812 was particularly inept. But  the young nation emerged united and strong, and Madison  enjoyed tremendous popularity and respect during his last years."
5,James Monroe,"Monroe Hall, VA",28-Apr,1758-1831,1.83,2,Episcopalian,College of William and Mary,"Plantation Owner, Lawyer",Major of the Continental Army,1817-1825,Democratic-Republican,Daniel Tompkins,Secretary of War,['1819 Panic of 1819 (too much land speculation)'],"['1823 Monroe Doctrine', '1818 49th parallel set as the border with Canada.', '1818 Russo-American Treaty: Russia out of Oregon']",['1817 1st Seminole war against Seminole Indians in Florida. Jackson in action.'],"['1819 Florida ceded to US', ""1820 Missouri Compromise Slavery forbidden abv 36° 30'"", '1820 In the election he received every electoral vote except one.']","His presidency contributed to national defense and security. The Monroe Doctrine became a landmark in American foreign policy. His time in office was called the ""Era of Good Feeling""."
6,John Quincy Adams,"Braintree, MA",11-Jul,1767-1848,1.7,4,Unitarian,Harvard,"Lawyer, Diplomat",none,1825-1829,Democratic-Republican,John Calhoun,Secretary of State,"[' ""Internal improvements"" program (roads, ports. canals)']",['Unsuccessful attempt to purchase Texas from Mexico'],['None'],"[' Accused for ""corrupt bargain"" to obtain Clay\'s support in election', '1828 Baltimore/Ohio railroad']","He had been an excellent Secretary of State, maybe the best in the history of the U.S. But as a President he was not allowed by a hostile Congress to be successful."
7,Andrew Jackson,"Waxhaw, NC",15-Mar,1767-1845,1.85,0,Presbyterian,None,"Soldier, Lawyer",Major General of U.S. Army,1829-1837,Democratic,"John Calhoun, Martin van Buren",Military Governor of Florida,"['1832 The Bank War. Veto for rechartering of the Second Bank', '1836 Specie Circular: Attempt to restrict land speculation']",[' Texas wins independence'],['1836 Alamo. 6000 Mexicans defeat 190 Americans after 12 days fight'],"['1830 Indian Removal Act', ""1832 South Carolina's nullification crisis over taxes"", '1835 ""The Trail of Tears"". Cherokees forced to move.']","Historians see in him both the best and the worst of the new Republic. Associated with the movement toward increased popular participation in government, the ""Jacksonian democracy""."
8,Martin van Buren,"Kinderhook, NY",5-Dec,1782-1862,1.68,4,Dutch Reformed,None,Lawyer,none,1837-1841,Democratic,Richard Johnson,8th Vice President of USA,['1837 The Panic of 1837. Financial crisis & depression'],[' Recognition of Republic of Texas; annex avoided'],['1838 2nd Seminole war against Seminole Indians in Florida'],"['1838 ""The Trail of Tears"". Indians’ relocation, 4000 die', '1839 US vs. The Amistad: symbolic against slavery']","An able man, but always regarded more as a shrewd politician and a manipulator. His Presidency was a failure. It was marked by the financial crisis, the Panic of 1837. He was called ""Martin Van Ruin""."
9,William H. Harrison,"Charles City County, VA",9-Feb,1773-1841,1.73,1,Episcopalian,Hampden-Sydney College,Soldier,Major General of U.S. Army,1841,Whig,John Tyler,Minister to Colombia,['None'],['None'],['None'],"['1841 Delivered the longest inaugural address (105 min)', '1841 Contracted pneumonia and died in the White House one month later.']",none
10,John Tyler,"Charles City County, VA",29-Mar,1790-1862,1.83,1,Episcopalian,College of William and Mary,Lawyer,Captain of Virginia militia,1841-1845,"Whig, No Party",none,10th Vice President of USA,['Economic crisis initiated by the Panic of 1837'],['1842 Webster–Ashburton Treaty settles border issues with the British'],['1842 End of the 2nd Seminole war'],"['1841 His cabinet resigned after he vetoed banking bills', '1844 USS Princeton disaster. 8  died in Potomac,', '1845 Texas annexed followed by war with Mexico']","His presidency is held in low esteem but scored a victory, the Texas annexation.  Expelled from his party while in office and without followers was powerless and yet effective and rather underrated"
11,James K. Polk,"Pineville, NC",2-Nov,1795-1849,1.73,0,Presbyterian,University of North Carolina,"Lawyer, Plantation Owner",Colonel of Tennessee militia,1845-1849,Democratic,George Dallas,Governor of Tennessee,['1846 Walker Tariff. Taxes reduced and fixed'],"['1846 Agreement with Britain over Oregon. Both got a part', '1848 Treaty of Guadalupe Hidalgo. Mexico gave up  the entire Southwest']",['1846 American-Mexican war. Mexico city captured in 1848.'],"['1846 A large crack in the Liberty Bell.', '1848 California Gold rush']",Polk added more territory than had any other president except Thomas Jefferson and made U.S. a coast-to-coast nation.  He was one of the greatest presidents.
12,Zachary Taylor,"Barboursville, VA",24-Nov,1784-1850,1.73,6,Episcopalian,None,Soldier,Major General U.S. Army,1849-1850,Whig,Millard Fillmore,"Major General, U.S. Army",['None'],['1850 Clayton–Bulwer Treaty with Britain: no further expansion in Americas'],['None'],"[' The question of extending slavery to the new territories dominated', '1846 Did not approve the ""Compromise of 1850""']","His blunt manner and unsophisticated style handicapped him as president. Because of his short tenure, Taylor is not considered to have strongly influenced the U.S."
